identifier,organism,kingdom
P35203,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P35201,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P36012,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P33122,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O16810,Drosophila melanogaster,Metazoa
Q05128,Zaire ebolavirus (strain Mayinga-76),Viruses
P05846,Escherichia coli,Bacteria
P06243,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P57766,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),Archaea
P03698,Escherichia phage lambda,Viruses
Q03188,Homo sapiens,Metazoa
P13902,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P04530,Enterobacteria phage T4,Viruses
P42166,Homo sapiens,Metazoa
O15315,Homo sapiens,Metazoa
P03695,Enterobacteria phage T4,Viruses
O00287,Homo sapiens,Metazoa
O00488,Homo sapiens,Metazoa
O00571,Homo sapiens,Metazoa
O24606,Arabidopsis thaliana,Viridiplantae
O43543,Homo sapiens,Metazoa
O49397,Arabidopsis thaliana,Viridiplantae
O96006,Homo sapiens,Metazoa
P03763,Escherichia phage Mu,Viruses
P04524,Enterobacteria phage T4,Viruses
P06400,Homo sapiens,Metazoa
P06463,Human papillomavirus type 18,Viruses
P06701,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P06733,Homo sapiens,Metazoa
P07273,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P09959,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P10226,Human herpesvirus 1 (strain 17),Viruses
P10258,Mouse mammary tumor virus (strain BR6),Viruses
P13342,Enterobacteria phage T4,Viruses
P13574,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P13988,Escherichia coli,Bacteria
P16790,Human cytomegalovirus (strain AD169),Viruses
P17890,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P19880,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P19893,Human cytomegalovirus (strain AD169),Viruses
P20050,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P21580,Homo sapiens,Metazoa
P22260,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),Bacteria
P22392,Homo sapiens,Metazoa
P22813,Drosophila melanogaster,Metazoa
P23023,Drosophila melanogaster,Metazoa
P23913,Gallus gallus,Metazoa
P24482,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P25293,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P25976,Mus musculus,Metazoa
P26993,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
P28159,Drosophila melanogaster,Metazoa
P29503,Drosophila melanogaster,Metazoa
P29590,Homo sapiens,Metazoa
P29692,Homo sapiens,Metazoa
P32367,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P32504,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P32566,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P32807,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P34021,Drosophila melanogaster,Metazoa
P38826,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P39015,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P39678,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P40685,Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.),Bacteria
P41895,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P43609,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P48972,Mus musculus,Metazoa
P49777,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P50456,Escherichia coli (strain K12),Bacteria
P52286,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P52594,Homo sapiens,Metazoa
P53038,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P53091,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P53551,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P79005,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P82979,Homo sapiens,Metazoa
Q01532,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q01842,Drosophila melanogaster,Metazoa
Q02818,Homo sapiens,Metazoa
Q04437,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q04636,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q06259,Escherichia phage P1,Viruses
Q06455,Homo sapiens,Metazoa
Q06481,Homo sapiens,Metazoa
Q08288,Mus musculus,Metazoa
Q10103,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q13761,Homo sapiens,Metazoa
Q13952,Homo sapiens,Metazoa
Q14188,Homo sapiens,Metazoa
Q39057,Arabidopsis thaliana,Viridiplantae
Q60611,Mus musculus,Metazoa
Q7RTV0,Homo sapiens,Metazoa
Q92466,Homo sapiens,Metazoa
Q92522,Homo sapiens,Metazoa
Q92804,Homo sapiens,Metazoa
Q92966,Homo sapiens,Metazoa
Q92985,Homo sapiens,Metazoa
Q96EK4,Homo sapiens,Metazoa
Q96FV9,Homo sapiens,Metazoa
Q96KC8,Homo sapiens,Metazoa
Q96KM6,Homo sapiens,Metazoa
Q99MZ3,Mus musculus,Metazoa
Q9BVI0,Homo sapiens,Metazoa
Q9BYV9,Homo sapiens,Metazoa
Q9FIE3,Arabidopsis thaliana,Viridiplantae
Q9H4I2,Homo sapiens,Metazoa
Q9HCU5,Homo sapiens,Metazoa
Q9P0M6,Homo sapiens,Metazoa
Q9UHN1,Homo sapiens,Metazoa
Q9UI36,Homo sapiens,Metazoa
Q9UKN8,Homo sapiens,Metazoa
Q9USR9,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q9Y1B2,Drosophila melanogaster,Metazoa
Q9Y5Q9,Homo sapiens,Metazoa
P00214,Azotobacter vinelandii,Bacteria
P03045,Escherichia phage lambda,Viruses
P09378,Escherichia coli (strain K12),Bacteria
P10151,Escherichia coli (strain K12),Bacteria
P10277,Enterobacteria phage P4,Viruses
P11065,Bacillus subtilis (strain 168),Bacteria
P26798,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P32445,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P36673,Escherichia coli (strain K12),Bacteria
P37554,Bacillus subtilis (strain 168),Bacteria
P76086,Escherichia coli (strain K12),Bacteria
P76141,Escherichia coli (strain K12),Bacteria
P77245,Escherichia coli (strain K12),Bacteria
O57863,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),Archaea
P03049,Salmonella phage P22,Viruses
P08062,Agrobacterium fabrum (strain C58 / ATCC 33970),Bacteria
P08657,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
P0A3R9,Streptomyces carzinostaticus,Bacteria
P10485,Escherichia coli,Bacteria
P13976,Escherichia coli,Bacteria
P37551,Bacillus subtilis (strain 168),Bacteria
P75811,Escherichia coli (strain K12),Bacteria
Q49434,Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),Bacteria
Q58559,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O27652,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),Archaea
O31178,Bacillus anthracis,Bacteria
P03187,Epstein-Barr virus (strain B95-8),Viruses
P03672,Pseudomonas phage Pf3,Viruses
P05845,Escherichia coli,Bacteria
P07695,Escherichia phage P2,Viruses
P08707,Escherichia phage 186,Viruses
P15281,Bacillus subtilis (strain 168),Bacteria
P21678,Escherichia phage 186,Viruses
P46003,Escherichia coli,Bacteria
Q06433,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
Q58958,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q9HUW0,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
P04132,Escherichia phage P2,Viruses
Q60329,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O34926,Bacillus subtilis (strain 168),Bacteria
O43612,Homo sapiens,Metazoa
O60308,Homo sapiens,Metazoa
O75880,Homo sapiens,Metazoa
P00429,Bos taurus,Metazoa
P01094,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P06129,Escherichia coli (strain K12),Bacteria
P06875,Escherichia coli,Bacteria
P08159,Paenarthrobacter nicotinovorans,Bacteria
P09391,Escherichia coli (strain K12),Bacteria
P12978,Epstein-Barr virus (strain B95-8),Viruses
P13232,Homo sapiens,Metazoa
P14741,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P14904,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P16140,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P17312,Enterobacteria phage T4,Viruses
P21340,Bacillus subtilis (strain 168),Bacteria
P22643,Xanthobacter autotrophicus,Bacteria
P23508,Homo sapiens,Metazoa
P24539,Homo sapiens,Metazoa
P25637,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P28817,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P32140,Escherichia coli (strain K12),Bacteria
P32259,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P33308,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P36057,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P38334,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P38339,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P39045,Actinomadura sp. (strain R39),Bacteria
P40458,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P41968,Homo sapiens,Metazoa
P42658,Homo sapiens,Metazoa
P43004,Homo sapiens,Metazoa
P44308,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P45464,Escherichia coli (strain K12),Bacteria
P46489,Flaveria bidentis,Viridiplantae
P46951,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P49019,Homo sapiens,Metazoa
P51571,Homo sapiens,Metazoa
P53184,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P54987,Mus musculus,Metazoa
P61165,Homo sapiens,Metazoa
P75409,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
P77774,Escherichia coli (strain K12),Bacteria
P92979,Arabidopsis thaliana,Viridiplantae
P93002,Arabidopsis thaliana,Viridiplantae
Q01292,Spinacia oleracea,Viridiplantae
Q03034,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q03513,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),Bacteria
Q07750,Caenorhabditis elegans,Metazoa
Q07817,Homo sapiens,Metazoa
Q08210,Plasmodium falciparum (isolate 3D7),Protists
Q09024,Drosophila melanogaster,Metazoa
Q12287,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q13144,Homo sapiens,Metazoa
Q15256,Homo sapiens,Metazoa
Q24139,Drosophila melanogaster,Metazoa
Q27974,Bos taurus,Metazoa
Q43125,Arabidopsis thaliana,Viridiplantae
Q46079,Pedobacter heparinus (strain ATCC 13125 / DSM 2366 / CIP 104194 / JCM 7457 / NBRC 12017 / NCIMB 9290 / NRRL B-14731 / HIM 762-3),Bacteria
Q57829,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q8WXI4,Homo sapiens,Metazoa
Q92530,Homo sapiens,Metazoa
Q96AB6,Homo sapiens,Metazoa
Q9M156,Arabidopsis thaliana,Viridiplantae
Q9QUG3,Mus musculus,Metazoa
Q9UGB7,Homo sapiens,Metazoa
P27204,Ensis minor,Metazoa
P53528,Mycobacterium leprae (strain TN),Bacteria
P52684,Klebsiella pneumoniae,Bacteria
P10961,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P06023,Escherichia phage Mu,Viruses
O51768,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
P55389,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P06777,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P35883,Mycolicibacterium smegmatis,Bacteria
P17502,Anthonomus grandis,Metazoa
Q9ZM26,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
Q56201,Staphylococcus xylosus,Bacteria
Q8NEZ4,Homo sapiens,Metazoa
Q24167,Drosophila melanogaster,Metazoa
P39521,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P07903,Mus musculus,Metazoa
P43462,Rhodococcus erythropolis,Bacteria
Q8MJA0,Pan troglodytes,Metazoa
O35892,Mus musculus,Metazoa
O05103,Clostridium butyricum,Bacteria
P55658,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P67698,Escherichia coli O157:H7,Bacteria
P25210,Petromyzon marinus,Metazoa
P94501,Bacillus subtilis (strain 168),Bacteria
P20824,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
P46676,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P28322,Mus musculus,Metazoa
Q04580,Shallot virus X,Viruses
O76906,Drosophila melanogaster,Metazoa
O30477,Rhodothermus marinus,Bacteria
O42131,Gallus gallus,Metazoa
P34427,Caenorhabditis elegans,Metazoa
Q9JJY4,Mus musculus,Metazoa
P76161,Escherichia coli (strain K12),Bacteria
P05552,Drosophila melanogaster,Metazoa
P10080,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P27753,Escherichia phage P1,Viruses
P74892,Staphylococcus xylosus,Bacteria
P40762,Bacillus subtilis (strain 168),Bacteria
Q04891,Mus musculus,Metazoa
O60182,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P44152,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9ZD50,Rickettsia prowazekii (strain Madrid E),Bacteria
Q9LW85,Arabidopsis thaliana,Viridiplantae
P28859,Ictalurid herpesvirus 1 (strain Auburn),Viruses
Q62093,Mus musculus,Metazoa
P43139,African swine fever virus (isolate Pig/Portugal/Lis 60/1960),Viruses
Q08999,Homo sapiens,Metazoa
P76114,Escherichia coli (strain K12),Bacteria
P38073,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P40284,Entamoeba invadens,Protists
P77700,Escherichia coli (strain K12),Bacteria
P37503,Bacillus subtilis (strain 168),Bacteria
P66812,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
P08558,Escherichia phage Mu,Viruses
P18493,Bos taurus,Metazoa
P17909,Escherichia coli,Bacteria
P24349,Caenorhabditis elegans,Metazoa
Q64256,Rattus norvegicus,Metazoa
P58700,Yersinia pestis,Bacteria
Q52913,not found,
Q96JM2,Homo sapiens,Metazoa
P45904,Bacillus subtilis (strain 168),Bacteria
P48437,Mus musculus,Metazoa
P35165,Bacillus subtilis (strain 168),Bacteria
P75437,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
P17214,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q01012,Saimiriine herpesvirus 2 (strain 11),Viruses
P25172,Drosophila melanogaster,Metazoa
O13606,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P08392,Human herpesvirus 1 (strain 17),Viruses
Q47129,Escherichia coli (strain K12),Bacteria
P22148,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O51066,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
O14746,Homo sapiens,Metazoa
P41453,Autographa californica nuclear polyhedrosis virus,Viruses
P52618,Salmonella abony,Bacteria
P53566,Mus musculus,Metazoa
Q9BX26,Homo sapiens,Metazoa
P34670,Caenorhabditis elegans,Metazoa
P15081,Escherichia coli (strain K12),Bacteria
P39376,Escherichia coli (strain K12),Bacteria
Q00461,Microchaete diplosiphon,Bacteria
P62177,Bacillus anthracis,Bacteria
Q8NFZ0,Homo sapiens,Metazoa
O80341,Arabidopsis thaliana,Viridiplantae
P46974,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P07621,Escherichia coli,Bacteria
P20227,Drosophila melanogaster,Metazoa
P26488,Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG 6465 / NBRC 14845 / NCIMB 13405 / ORS 571),Bacteria
P27536,Xenopus laevis,Metazoa
Q9V2M0,Pyrococcus abyssi (strain GE5 / Orsay),Archaea
P46358,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),Bacteria
P37938,Schizophyllum commune,Fungi
P12552,Enterobacteria phage P4,Viruses
Q92GC8,Rickettsia conorii (strain ATCC VR-613 / Malish 7),Bacteria
P10627,Drosophila melanogaster,Metazoa
P17410,Escherichia coli (strain K12),Bacteria
P19655,Escherichia phage P1,Viruses
P03264,Human adenovirus C serotype 2,Viruses
Q9JU25,Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491),Bacteria
Q9Z330,Rattus norvegicus,Metazoa
Q9W0K4,Drosophila melanogaster,Metazoa
Q95QY7,Caenorhabditis elegans,Metazoa
P03835,Escherichia coli (strain K12),Bacteria
P16691,Escherichia coli (strain K12),Bacteria
Q9CJ45,Lactococcus lactis subsp. lactis (strain IL1403),Bacteria
P16400,Lactococcus lactis subsp. lactis (strain IL1403),Bacteria
P06225,Bacillus phage SP02,Viruses
P06843,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P11020,Scyliorhinus canicula,Metazoa
P13483,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P45008,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P52661,Azospirillum brasilense,Bacteria
P32398,Bacillus subtilis (strain 168),Bacteria
Q10621,not found,
P35901,Mycobacterium leprae (strain TN),Bacteria
P66808,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
P49998,not found,
P40814,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
P55643,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
Q83950,Orgyia pseudotsugata multicapsid polyhedrosis virus,Viruses
P76369,Escherichia coli (strain K12),Bacteria
P39781,Bacillus subtilis (strain 168),Bacteria
P48271,Cyanophora paradoxa,Protists
O75717,Homo sapiens,Metazoa
P39143,Bacillus subtilis (strain 168),Bacteria
P33228,Escherichia coli (strain K12),Bacteria
Q9N0N3,Ovis aries,Metazoa
P20398,Xenopus laevis,Metazoa
Q64028,Mus musculus,Metazoa
P28809,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
P54479,Bacillus subtilis (strain 168),Bacteria
Q01751,Escherichia phage RB69,Viruses
P22562,Halobacterium phage phiH,Viruses
Q58038,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P13893,Budgerigar fledgling disease virus,Viruses
P11637,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
P31449,Escherichia coli (strain K12),Bacteria
P20193,Drosophila melanogaster,Metazoa
P48988,Cricetulus griseus,Metazoa
Q17768,Caenorhabditis elegans,Metazoa
P18811,Escherichia coli (strain K12),Bacteria
P46672,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P0AE71,Escherichia coli O157:H7,Bacteria
P25357,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P54269,Drosophila melanogaster,Metazoa
Q47005,Escherichia coli (strain K12),Bacteria
Q24849,Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM),Protists
P45876,Methylorubrum extorquens (strain DSM 6343 / CIP 106787 / DM4),Bacteria
P14199,Drosophila melanogaster,Metazoa
Q8Y0Y3,Ralstonia nicotianae (strain ATCC BAA-1114 / GMI1000),Bacteria
P18680,Escherichia phage HK022,Viruses
Q92372,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P75279,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
P67705,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
P10030,Escherichia coli (strain K12),Bacteria
Q27152,Oxytricha trifallax,Protists
Q45620,Geobacillus stearothermophilus,Bacteria
Q9X600,Pectobacterium carotovorum,Bacteria
P54000,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q13029,Homo sapiens,Metazoa
P16472,Rabbit fibroma virus (strain Kasza),Viruses
Q02614,Mus musculus,Metazoa
P0ACQ8,Escherichia coli O157:H7,Bacteria
P0ACE5,Escherichia coli O157:H7,Bacteria
P13320,Enterobacteria phage T4,Viruses
O83554,Treponema pallidum (strain Nichols),Bacteria
P03710,Escherichia phage lambda,Viruses
P03552,Cauliflower mosaic virus (strain CM-1841),Viruses
Q9PRE2,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
P03227,Epstein-Barr virus (strain B95-8),Viruses
P03073,Murine polyomavirus (strain A2),Viruses
Q9CG78,Lactococcus lactis subsp. lactis (strain IL1403),Bacteria
P22374,Ascobolus immersus,Fungi
P34160,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P30734,Micromys minutus papillomavirus,Viruses
P76062,Escherichia coli (strain K12),Bacteria
Q07864,Homo sapiens,Metazoa
O10308,Orgyia pseudotsugata multicapsid polyhedrosis virus,Viruses
Q23622,Caenorhabditis elegans,Metazoa
Q94818,Tetrahymena thermophila,Protists
P02964,Bacillus licheniformis,Bacteria
Q9CCB5,Mycobacterium leprae (strain TN),Bacteria
Q05335,Pseudomonas putida,Bacteria
Q57807,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P03209,Epstein-Barr virus (strain B95-8),Viruses
Q06552,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
Q84173,Orf virus (strain NZ2),Viruses
P45215,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q8QZV0,Mus musculus,Metazoa
Q04635,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q9NG98,Drosophila melanogaster,Metazoa
Q05244,not found,
P22816,Drosophila melanogaster,Metazoa
P20585,Homo sapiens,Metazoa
P20945,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),Fungi
Q27368,Drosophila melanogaster,Metazoa
P0AFY9,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
Q12224,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9Y794,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q83NU2,Tropheryma whipplei (strain TW08/27),Bacteria
P67665,not found,
P49997,Azotobacter vinelandii,Bacteria
P10590,Vibrio phage CP-T1,Viruses
P82094,Homo sapiens,Metazoa
P28349,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
Q57949,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P0ACU8,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
P43130,Geobacillus stearothermophilus,Bacteria
P09274,Varicella-zoster virus (strain Dumas),Viruses
Q9BYK8,Homo sapiens,Metazoa
Q08082,Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512),Bacteria
